ID,kindom,phylum,class,order,family,genus,species
OTU6306,Bacteria,Planctomycetes,Planctomycetia,Gemmatales,Gemmataceae,,
OTU6307,Bacteria,Acidobacteria,[Chloracidobacteria],RB41,,,
OTU6308,Bacteria,TM6,SJA-4,,,,
OTU6309,Bacteria,Proteobacteria,Betaproteobacteria,,,,
OTU6310,Bacteria,Proteobacteria,Betaproteobacteria,IS-44,,,
OTU6311,Bacteria,Acidobacteria,Acidobacteria-5,,,,
OTU6312,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Cytophagaceae,,
OTU6313,Bacteria,Acidobacteria,Acidobacteria-6,iii1-15,,,
OTU6314,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,OM27,,
OTU6315,Bacteria,Planctomycetes,Planctomycetia,Pirellulales,Pirellulaceae,,
OTU6316,Bacteria,Elusimicrobia,Endomicrobia,,,,
OTU6317,Bacteria,Verrucomicrobia,[Spartobacteria],[Chthoniobacterales],[Chthoniobacteraceae],DA101,
